vendor_url,reprice_sku
1533393036,383683115698
B00185NCDS,383683115705
1787460614,383683115707
B07YK7LWX7,383683115715
B00NGM1KSU,383683115716
B000VT7R42,383683115723
B003JBRQ9A,383683115724
B077S6NM7B,383683115725
1082231967,383683115726
B01MY6HX6Y,383683115727
B00GB2TFYS,383683115729
B00JQ2AJHC,383683115738
B0029SETJY,383683115740
1789083478,383683115742
B003L7ZPI6,383683115743
B07D5RYC1P,383683115744
B01JZHYC1G,383683115747
B00SMMVTYE,383683115748
B002DY3G9I,383683115757
B000NTFEPE,383683115759
184994167X,383683115760
B001ATATX8,383683115762
B000TASX2S,383683115763
B0002YYWJO,383683115768
B001GNBVRQ,383683115771
B074VG8983,383683115772
1782946330,383683115773
B01COEYE4M,383683115775
B00BL5LB2Y,383683115776
B004TW82UU,383683115777
B004RLYPUO,383683115779
1729099769,383683115780
B0000687B6,383683115781
B00IZG8TF4,383683115782
B0062MEVJ6,383683115786
B00DQAVUPA,383683115790
B00O7TE33A,383683115791
B000B6BGPQ,383683115793
B007Y57RY6,383683115794
B00U375M94,383683115795
B07965NDRN,383683115799
B00S6FKWOK,383683115800
B00CN88P36,383683115802
B0057H6J0G,383683115803
B07B4PT1GL,383683115805
B008201WGG,383683115806
1934770973,383683115808
1718671210,383683115814
B01ANDQGMO,383683115815
B001BL8OVE,383683115816
0141397268,383683115818
B01N2UYFHT,383683115821
B00J8WKCNG,383683115822
B0002L52BE,383683115823
B0019LR8N6,383683115824
B01N5ELL3Y,383683115826
B06X3SQGXX,383683115829
B001EJOF3E,383683115830
B01M3MWFU2,383683115831
B0072HK9JQ,383683115835
B000F4AVPA,383683115836
1412060419,383683115838
0198487169,383683115840
B00D0OK5I0,383683115837
B00VV8ZPIW,383683115843
B001UQ6DZE,383683115844
1593593287,383683115845
B0088LIINY,383683115848
B07CSZ489N,383683115850
B0085U7Y06,383683115853
0880790415,383683115857
B000GY76DE,383683115858
B005JJ8SI8,383683115859
B071P8B33V,383683115860
B004X4S5UG,383683115861
B003UWBPJA,383683115863
0198432887,383683115867
B00KGAOYSI,383683115868
0008326703,383683115870
B07NP3NBBP,383683115874
B0001IWWQG,383683115875
0008306664,383683115876
B006OM9Y6O,383683115878
B015LYZ90A,383683115882
B0012OELR6,383683115883
B001RGUSV2,383683115890
1461013135,383683115891
B001GU6HKU,383683115896
0008122164,383683115897
1782494111,383685043363
0571273572,383685043362
1405282150,383685043365
1473649528,383685043364
1786481529,383685043367
147296280X,383685043366
1782112308,383685043289
0008311447,383685043288
0575102489,383685043291
1592338704,383685043290
1848992270,383685043293
1473690781,383685043292
1780338376,383685043295
0751572543,383685043294
1473647797,383685043281
1911630318,383685043280
0857833669,383685043283
0575082445,383685043282
1845339533,383685043285
1905367376,383685043284
085733803X,383685043287
1785784552,383685043286
140195765X,383685043275
1472254392,383685043274
1844087190,383685043277
1909855022,383685043276
1529325439,383685043279
1623151015,383685043278
0451497724,383685043321
0857831089,383685043320
0857833731,383685043323
1781575266,383685043322
1856267628,383685043325
1904233880,383685043324
0857898396,383685043327
1849499411,383685043326
0241360005,383685043313
1409174778,383685043312
1785654462,383685043315
1922247561,383685043314
0007553633,383685043317
0340881542,383685043316
1849497265,383685043319
1785655272,383685043318
0008344418,383685043305
1760634395,383685043304
0099406322,383685043307
1849494207,383685043306
1849831556,383685043309
1526609207,383685043308
0718184513,383685043311
1910496871,383685043310
1405924209,383685043297
1785650262,383685043299
147213995X,383685043298
1782118268,383685043301
1473640288,383685043300
1529361338,383685043303
0061834890,383685043302
0141345837,383685043417
0600633314,383685043416
1782395504,383685043419
1849944997,383685043418
1787474992,383685043420
1631063758,383685043423
0340998997,383685043422
1529405106,383685043409
1406355348,383685043408
1401945015,383685043411
0711245207,383685043410
0141046422,383685043413
1471162788,383685043412
1908700017,383685043415
1408351838,383685043401
1473652251,383685043403
1844487652,383685043402
0711239282,383685043404
1446306259,383685043406
0008163367,383685043393
1788401743,383685043392
0957644787,383685043395
1592338151,383685043394
1406360813,383685043396
1780723385,383685043399
184529825X,383685043398
1912854554,383685043424
0712357963,383685043353
1785652931,383685043352
0008241724,383685043355
1408883848,383685043354
0008353743,383685043357
1780723628,383685043356
1909855677,383685043359
1785651188,383685043358
1909855499,383685043345
191090497X,383685043344
1529032172,383685043347
0008256977,383685043346
0751554154,383685043349
1782112464,383685043348
1473652278,383685043351
1849757046,383685043350
1409164160,383685043337
1846012627,383685043336
1743366094,383685043339
1529380472,383685043338
1908707496,383685043341
1780289294,383685043340
1785654349,383685043343
1405283343,383685043342
060061722X,383685043329
1473639212,383685043328
0007925352,383685043331
1784751375,383685043330
1780224648,383685043333
0062843397,383685043332
1444780786,383685043335
178472596X,383685043334
1473619386,383685043385
0712357971,383685043384
1784725560,383685043387
0007413556,383685043386
000832705X,383685043389
1509871357,383685043388
0712357165,383685043390
0007437137,383685043377
1743368682,383685043379
0857833057,383685043381
1447287576,383685043380
1529406277,383685043383
1509800697,383685043382
1473674816,383685043369
1408854856,383685043368
1408839997,383685043371
1782118608,383685043370
1743368194,383685043373
1444799053,383685043372
144630602X,383685043375
1408354764,383685043374
1911617044,383685043361
1409534723,383685043360
