Item ID,Custom label,Product ID type,Product ID value,Product ID value 2,Quantity available,Purchases,Bids,Price,Start date,End date,Condition,Type,Item title,Category leaf name,Category number,Private notes,Site listed,Download date,Variation details,Product reference ID,Condition ID,OutOfStockControl
383683115776,ITEM00056,,,,0,1,,�1.83,19-Aug-20,,New,9,Nip+Fab Glycolic Fix Cleansing Pads,Other Hair Care & Styling,177658,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115777,ITEM00005,,,,2,0,,�5.96,19-Aug-20,,New,9,Autoleads RMA134 Replacement Aerial Wing Mount Large Head - Chrome Retractable,Aerials,36676,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115779,ITEM00076,,,,2,0,,�7.38,19-Aug-20,,New,9,"Craft UK 50 Cards and Envelopes, White, 5 x 5-Inch,382 243",Card Making,134594,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115780,ITEM00066,,,,2,0,,�8.21,19-Aug-20,,New,9,"Harry Potter Word Search: Find over 1,600 words from J.K Rowling?s magical",Fiction,171219,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115781,ITEM00071,,,,2,0,,�9.89,19-Aug-20,,New,9,"D-Link DES-1005 5-Port Fast Ethernet Unmanaged Desktop Switch, Hub, Internet",Network Switches,51268,,3,29-Aug-20 01:32:32 BST,,2255834041,1000,false
383683115782,ITEM00061,,,,2,2,,�5.79,19-Aug-20,,New,9,"Natural Deodorant Crystal Rock Chick by Salt of the Earth, Unscented, Fragrance",Deodorants & Anti-Perspirants,29580,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115786,ITEM00042,,,,2,0,,�7.68,19-Aug-20,,New,9,The Company of Animals COA Target Stick,Other Training & Obedience,146245,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115790,ITEM00086,,,,2,2,,�5.73,19-Aug-20,,New,9,"Humbrol AV0201 Enamel Wash Black , 28ml",Paints & Accessories,2594,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115791,ITEM00081,,,,2,0,,�4.27,19-Aug-20,,New,9,Armor All 3 Polish Applicator Pads with Handle,Other Car Care & Cleaning,179462,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115793,ITEM00024,,,,2,0,,�3.71,19-Aug-20,,New,9,Hama Beads Ironing Paper,Creative Toys & Activities,80546,,3,29-Aug-20 01:32:32 BST,,2255615505,1000,false
383683115794,ITEM00010,,,,2,0,,�9.67,19-Aug-20,,New,9,Wolfcraft 4197000 65 x 61mm Megacut S Universal Cutter,Wooden & Matchstick Kits,2595,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115795,ITEM00047,,,,2,16,,�3.10,19-Aug-20,,New,9,"Anthisan Bite and Sting Cream, 20g",Other First Aid,11779,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115799,ITEM00019,,,,2,0,,�53.56,19-Aug-20,,New,9,"Yale SD-M1100 Smart Door Lock Z-Wave Module 2, App Control, Visibility on User",Padlocks,98855,,3,29-Aug-20 01:32:32 BST,,12034747462,1000,false
383683115800,ITEM00057,,,,0,0,,�19.62,19-Aug-20,,New,9,Sylvanian Families 5209 Seaside Camping Set,Sylvanian Families,64844,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115802,ITEM00015,,,,0,0,,�4.24,19-Aug-20,,New,9,Maybelline New York Forever Strong Super Stay Gel Nail Color 7 Days 130 Rose,Nail Polish,11873,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115803,ITEM00037,,,,2,0,,�11.03,19-Aug-20,,New,9,tesa Crack Cover,Car Seat Accessories,66693,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115805,ITEM00034,,,,2,0,,�8.87,19-Aug-20,,New,9,SCHWARZKOPF BC HMK Spray CON 200ml,Shampoos & Conditioners,177661,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115806,ITEM00029,,,,0,0,,�2.66,19-Aug-20,,New,9,"Wenko Toothbrush tumbler Arktis in white, 7.1 x 10,2 cm",Tumblers & Toothbrush Holders,25453,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115808,ITEM00052,,,,2,0,,�4.72,19-Aug-20,,New,9,Majestic Rainbow Bible Tabs,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,99857915,1000,false
383683115814,ITEM00067,,,,2,3,,�4.83,19-Aug-20,,New,9,Simple Ledger: Cash Book | 110 pages | DIN A5 | Simple Income Expense Book |,Paper Products,3305,,3,29-Aug-20 01:32:32 BST,,19019919647,1000,false
383683115815,ITEM00077,,,,0,0,,�3.41,19-Aug-20,,New,9,KISS Powerflex Precision Glue,Other Nail Care,11870,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115816,ITEM00072,,,,2,0,,�8.58,19-Aug-20,,New,9,"Garnier Ambre Solaire Bronzer Sun Tan Spray Medium, 150ml",Fake Tanning Products,31773,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115818,ITEM00062,,,,2,0,,�2.41,19-Aug-20,,New,9,The Tell-Tale Heart Penguin Little Black Classics,Fiction,171228,,3,29-Aug-20 01:32:32 BST,,213377858,1000,false
383683115821,ITEM00082,,,,2,0,,�10.46,19-Aug-20,,New,9,Bourjois Healthy Mix Foundation,Foundations,177666,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115822,ITEM00087,,,,2,0,,�5.83,19-Aug-20,,New,9,Malibu Miracle Tan Before and After Moisturising Sun Lotion 150 ml,After Sun Skin Care,74996,,3,29-Aug-20 01:32:32 BST,,24011367885,1000,false
383683115823,ITEM00025,,,,2,0,,�8.21,19-Aug-20,,New,9,Moongel Damper Pads Pot of 6,Other Accessories,10173,,3,29-Aug-20 01:32:32 BST,,1805077215,1000,false
383683115824,ITEM00058,,,,2,1,,�2.69,19-Aug-20,,New,9,Tsukineko Emboss Ink Pad Clear Refresher Ink,Ink & Pads,11795,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115826,ITEM00035,,,,2,0,,�7.08,19-Aug-20,,New,9,Your Name DVD,DVDs & Blu-rays,617,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115829,ITEM00053,,,,2,0,,�18.84,19-Aug-20,,New,9,Schleich 42388 - Assorted Wild Life Animals,Animals & Dinosaurs,175692,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115830,ITEM00073,,,,2,0,,�7.09,19-Aug-20,,New,9,Banana Boat Aloe Vera Skin Care Gel Large 453g Pump Bottle,After Sun Skin Care,74996,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115831,ITEM00043,,,,0,2,,�5.52,19-Aug-20,,New,9,"Toastabags Roasting Bags, 25 x 38 cm Standard Pack of 50",Other Food Preparation & Tools,20651,,3,29-Aug-20 01:32:32 BST,,,1000,false
