Date added,CustomLabel,ASIN,Product:EAN,PicURL
29/08/2020,ITEM00272,B003DBQJNU,4016153100067,https://images-na.ssl-images-amazon.com/images/I/51Aj5FlNo5L._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Fj06fFU1L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81drZQM4WEL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/619BdDMdsLL._AC_SL1500_.jpg
29/08/2020,ITEM00273,1474614752,9781474614757,https://images-na.ssl-images-amazon.com/images/I/61WqQ1DDBSL.jpg
29/08/2020,ITEM00274,B00CTLQH5U,5055559707608,https://images-na.ssl-images-amazon.com/images/I/51ge%2B3J8XOL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51KWw5Jcp9L._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61gpJBKVQWL._AC_SL1000_.jpg
29/08/2020,ITEM00275,0008311447,,https://images-na.ssl-images-amazon.com/images/I/716NMoK+jgL.jpg|https://images-na.ssl-images-amazon.com/images/I/41CIgeOMhPL.jpg|https://images-na.ssl-images-amazon.com/images/I/61AEd99rfyL.jpg|https://images-na.ssl-images-amazon.com/images/I/71ZFQejaymL.jpg|https://images-na.ssl-images-amazon.com/images/I/71wePppBjhL.jpg|https://images-na.ssl-images-amazon.com/images/I/71Uyw2FT9TL.jpg
29/08/2020,ITEM00276,1844199185,9781844199181,https://images-na.ssl-images-amazon.com/images/I/41xriTMZ4-L.jpg|https://images-na.ssl-images-amazon.com/images/I/815ubHS+x2L.jpg|https://images-na.ssl-images-amazon.com/images/I/81Ob5U2jM2L.jpg|https://images-na.ssl-images-amazon.com/images/I/71hcf6sKP5L.jpg|https://images-na.ssl-images-amazon.com/images/I/711U9M+-g1L.jpg
29/08/2020,ITEM00277,024198548X,9780241985489,https://images-na.ssl-images-amazon.com/images/I/81Ig4hKxqpL.jpg|https://images-na.ssl-images-amazon.com/images/I/5197Gb6bqVL.jpg
29/08/2020,ITEM00278,B000A42CUC,5052615032704,https://images-na.ssl-images-amazon.com/images/I/81a1dfoSzPL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/810qNNxXJ7L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91gm1P6SFAL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91uAGfXzTDL._AC_SL1500_.jpg
29/08/2020,ITEM00279,1407185780,9781407185781,https://images-na.ssl-images-amazon.com/images/I/91gg2YPc3ML.jpg|https://images-na.ssl-images-amazon.com/images/I/91WKbdpIWTL.jpg
29/08/2020,ITEM00280,1786852357,9781786852359,https://images-na.ssl-images-amazon.com/images/I/71ZU+2HmZ2L.jpg|https://images-na.ssl-images-amazon.com/images/I/71H57sO3cqL.jpg
29/08/2020,ITEM00281,1910552860,9781910552865,https://images-na.ssl-images-amazon.com/images/I/61Vm0pmObdL.jpg|https://images-na.ssl-images-amazon.com/images/I/A1Nd8xEzSnL.jpg|https://images-na.ssl-images-amazon.com/images/I/A1bbhY3LwCL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1jEUVRoD0S.jpg|https://images-na.ssl-images-amazon.com/images/I/A1SlWZ5JewL.jpg|https://images-na.ssl-images-amazon.com/images/I/A1ZUlKe2qPL.jpg
29/08/2020,ITEM00282,1785212141,9781785212147,https://images-na.ssl-images-amazon.com/images/I/81FHmFxm9-L.jpg|https://images-na.ssl-images-amazon.com/images/I/91yzdrNbgiL.jpg|https://images-na.ssl-images-amazon.com/images/I/91se7IaWN0L.jpg|https://images-na.ssl-images-amazon.com/images/I/91pRlw-vT1L.jpg|https://images-na.ssl-images-amazon.com/images/I/91svnfmoeCL.jpg|https://images-na.ssl-images-amazon.com/images/I/91AA19x-1bL.jpg
29/08/2020,ITEM00283,B001B65ZVQ,5060385171677,https://images-na.ssl-images-amazon.com/images/I/811bJqBaFOL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/817Mr0jZCLL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51oPszf-3DL._AC_SL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/51oMUAdklxL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/91M8LapV%2BZL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/31UfkHeBFrL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71uEGdS%2B6DL._AC_SL1500_.jpg
29/08/2020,ITEM00284,0008217181,9780008217181,https://images-na.ssl-images-amazon.com/images/I/51GCtyV7uoL.jpg
29/08/2020,ITEM00285,B001GAP4YA,8000144074105,https://images-na.ssl-images-amazon.com/images/I/61YayKd%2BAxL._AC_SL1280_.jpg|https://images-na.ssl-images-amazon.com/images/I/61AHYjHtvRL._AC_SL1280_.jpg|https://images-na.ssl-images-amazon.com/images/I/816pRA9rDiL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61dvjmIKIEL._AC_SL1280_.jpg|https://images-na.ssl-images-amazon.com/images/I/61JIMVG7BhL._AC_SL1280_.jpg|https://images-na.ssl-images-amazon.com/images/I/61clyMTI9iL._AC_SL1280_.jpg|https://images-na.ssl-images-amazon.com/images/I/817adEBSYIL._AC_SL1500_.jpg
29/08/2020,ITEM00286,B006WZNTA0,5055346280918,https://images-na.ssl-images-amazon.com/images/I/71%2B2uujWBhL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/612MEFUltjL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/518etGLCFxL._AC_.jpg
29/08/2020,ITEM00287,0575102489,,https://images-na.ssl-images-amazon.com/images/I/415w2UA7nSL.jpg
29/08/2020,ITEM00288,B00068Q7LC,0742741364927,https://images-na.ssl-images-amazon.com/images/I/61qWsNpTvzL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81cZkyVi21L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61CAvdPaLDL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71cj5x1jXTL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71mDeinB9aL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61YMChhqsYL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71vxNCyJEVL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/81P1KuqRA5L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71W6znBMVlL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/319eSlAbKDL._AC_.jpg
29/08/2020,ITEM00289,1784742325,9781784742324,https://images-na.ssl-images-amazon.com/images/I/715YA-I9GcL.jpg|https://images-na.ssl-images-amazon.com/images/I/71BN-8I8xtL.jpg|https://images-na.ssl-images-amazon.com/images/I/81xMguTKBFL.jpg|https://images-na.ssl-images-amazon.com/images/I/81q7FdiwkwL.jpg|https://images-na.ssl-images-amazon.com/images/I/71K94Sbk4DL.jpg
29/08/2020,ITEM00290,1839400080,9781839400087,https://images-na.ssl-images-amazon.com/images/I/61EMpKk1XbL.jpg
29/08/2020,ITEM00291,B00WWLRGYS,5055789202447,https://images-na.ssl-images-amazon.com/images/I/41z7AypMs1L._AC_.jpg
29/08/2020,ITEM00292,B078J5WDPJ,628136653428,https://images-na.ssl-images-amazon.com/images/I/81--PDcGpOL._AC_SL1184_.jpg|https://images-na.ssl-images-amazon.com/images/I/81cL-LZfOeL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ZX9uE7DkL._AC_SL1500_.jpg
29/08/2020,ITEM00293,1788108914,9781788108911,https://images-na.ssl-images-amazon.com/images/I/71sbguram+L.jpg|https://images-na.ssl-images-amazon.com/images/I/71pbK7kDyFL.jpg|https://images-na.ssl-images-amazon.com/images/I/71+yStM5VEL.jpg
